"Sample_ID","Plant_ID","Flower_ID","Treatment","Flower_Age","Buzz_number","Sex","Inflorescence","Date","Species","Accession","pollen_rem_a","pollen_rem_b","pollen_rem_c","pollen_rem_d","pollen_rem_est","newflowerid"
"e026","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",2,"04/06/2021","S. elaeagnifolium","10-QSJ-12",316,170,125,196,4035,"10QSJ12-5.1DA.04/06/2021"
"e027","10QSJ12-5","1DA","Free",1,1,"hermaphrodite",2,"06/06/2021","S. elaeagnifolium","10-QSJ-12",18,19,12,6,275,"10QSJ12-5.1DA.06/06/2021"
"e028","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",6,"06/06/2021","S. elaeagnifolium","10-QSJ-12",1044,789,989,1101,19615,"10QSJ12-5.1DA.06/06/2021"
"e029","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",6,"06/06/2021","S. elaeagnifolium","10-QSJ-12",214,55,28,59,1780,"10QSJ12-5.1DA.06/06/2021"
"e030","10QSJ12-5","1DA","Joined",1,2,"hermaphrodite",2,"06/06/2021","S. elaeagnifolium","10-QSJ-12",252,221,254,214,4705,"10QSJ12-5.1DA.06/06/2021"
"e031","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",7,"07/06/2021","S. elaeagnifolium","10-QSJ-12",159,146,141,155,3005,"10QSJ12-5.1DA.07/06/2021"
"e032","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",7,"07/06/2021","S. elaeagnifolium","10-QSJ-12",12,11,13,6,210,"10QSJ12-5.1DA.07/06/2021"
"e033","10QSJ12-5","1DB","Joined",1,1,"hermaphrodite",6,"07/06/2021","S. elaeagnifolium","10-QSJ-12",375,409,380,373,7685,"10QSJ12-5.1DB.07/06/2021"
"e034","10QSJ12-5","1DB","Free",1,2,"hermaphrodite",6,"07/06/2021","S. elaeagnifolium","10-QSJ-12",15,16,15,12,290,"10QSJ12-5.1DB.07/06/2021"
"e035","10QSJ12-5","1DA","Joined",1,1,"hermaphrodite",6,"07/06/2021","S. elaeagnifolium","10-QSJ-12",198,173,194,197,3810,"10QSJ12-5.1DA.07/06/2021"
"e036","10QSJ12-5","1DA","Free",1,2,"hermaphrodite",6,"07/06/2021","S. elaeagnifolium","10-QSJ-12",201,274,231,251,4785,"10QSJ12-5.1DA.07/06/2021"
