"web","plant","tip_name","symmetry","PC1","PC2","PC3","PC4","n.poll","n.shared","mn.n.shared","md.n.shared","n.shared.a","n.shared.z","mn.n.shared.a","mn.n.shared.z","md.n.shared.a","md.n.shared.z","Latitude","lat.x","lat.sc","pc1.sc","pc2.sc","rel.mn.n.shared","rel.mn.n.shared.a","rel.mn.n.shared.z"
"M_PL_043","Echium vulgare","Echium_vulgare","Actinomorphic",-24.8579328325932,12.104951667575,17.3267578252073,-1.45399725469957,7,6,1.81481481481481,2,6,4,1.71428571428571,2.16666666666667,2,2,56.238737,7.49924909574285,1.2702676356796,-0.797044546166781,0.518244941732162,0.259259259259259,0.244897959183673,0.30952380952381
"M_PL_043","Epilobium montanum","Epilobium_montanum","Actinomorphic",9.40933952659416,-27.1488665090388,-0.755888968491119,8.2259016353369,7,6,0.777777777777778,0,6,1,0.80952380952381,0.666666666666667,0,0.5,56.238737,7.49924909574285,1.2702676356796,0.301700982266313,-1.16231465671681,0.111111111111111,0.115646258503401,0.0952380952380953
"M_PL_043","Lapsana communis","Lapsana_communis","Actinomorphic",-33.1865085278826,17.9787027237657,-25.2684500374462,-1.62052048542862,7,7,1.88888888888889,2,7,3,2.0952380952381,1.16666666666667,2,1,56.238737,7.49924909574285,1.2702676356796,-1.06409192617111,0.769715732980236,0.26984126984127,0.299319727891157,0.166666666666667
"M_PL_043","Ranunculus repens","Ranunculus_repens","Actinomorphic",42.0779661754047,11.3483454143187,0.614795344405318,29.2934323986418,7,5,1.66666666666667,2,5,3,1.80952380952381,1.16666666666667,2,1,56.238737,7.49924909574285,1.2702676356796,1.34918754828729,0.485852630354057,0.238095238095239,0.258503401360544,0.166666666666667
"M_PL_043","Aegopodium podagraria","Aegopodium_podagraria","Actinomorphic",-24.4866129272079,12.4489901724134,-8.36341055245594,0.736260497315701,6,4,1.18518518518519,1,4,2,1.28571428571429,0.833333333333333,1,1,56.238737,7.49924909574285,1.2702676356796,-0.785138547889947,0.53297413849312,0.197530864197532,0.214285714285715,0.138888888888889
"M_PL_043","Daucus carota","Daucus_carota","Actinomorphic",-24.4664346842675,12.4403220179241,-8.35148665700435,0.738022631107187,6,5,1.14814814814815,1,5,2,1.14285714285714,1.16666666666667,1,1,56.238737,7.49924909574285,1.2702676356796,-0.784491552880539,0.532603031912805,0.191358024691358,0.19047619047619,0.194444444444445
"M_PL_043","Trifolium dubium","Trifolium_dubium","Zygomorphic",8.36970143532319,-39.4997446261312,-2.43575149571708,-25.4764636247751,6,6,1.40740740740741,1,6,6,1.27272727272727,2,1,2,56.238737,7.49924909574285,1.2702676356796,0.26836603538174,-1.69108835907525,0.234567901234568,0.212121212121212,0.333333333333333
"M_PL_043","Malva sylvestris","Malva_sylvestris","Actinomorphic",8.81409671189287,-32.1818945370145,-1.1625246755881,19.0586970505311,3,2,0.333333333333333,0,2,0,0.428571428571429,0,0,0,56.238737,7.49924909574285,1.2702676356796,0.282615121736488,-1.37779187535631,0.111111111111111,0.142857142857143,0
"M_PL_043","Prunella vulgaris","Prunella_vulgaris","Zygomorphic",-30.9905647026159,15.0723154508685,26.596944426692,-3.97901298694422,3,3,0.666666666666667,1,3,3,0.545454545454545,1.2,0,1,56.238737,7.49924909574285,1.2702676356796,-0.993681202101468,0.645285620059723,0.222222222222222,0.181818181818182,0.4
"M_PL_043","Stachys sylvatica","Stachys_sylvatica","Zygomorphic",-30.9185293323622,15.0384218419801,26.4952494268128,-3.95142887241399,3,3,1.18518518518519,1,3,3,1.13636363636364,1.4,1,2,56.238737,7.49924909574285,1.2702676356796,-0.991371460604519,0.643834545173525,0.395061728395063,0.37878787878788,0.466666666666667
"M_PL_043","Chrysanthemum maximum","Chrysanthemum_maximum","Actinomorphic",-33.5728738911837,18.1983492754485,-25.8491182606365,-1.70209808338471,2,2,0.407407407407407,0,2,0,0.523809523809524,0,1,0,56.238737,7.49924909574285,1.2702676356796,-1.07648034188214,0.779119381793096,0.203703703703703,0.261904761904762,0
"M_PL_043","Cerastium glomeratum","Cerastium_glomeratum","Actinomorphic",1.47220427499053,-4.80609980463368,2.71894569528573,15.0819854175728,1,1,0.222222222222222,0,0,0,0.19047619047619,0.333333333333333,0,0,56.238737,7.49924909574285,1.2702676356796,0.0472047453071427,-0.205761822237024,0.222222222222222,0.19047619047619,0.333333333333333
"M_PL_043","Geranium robertianum","Geranium_robertianum","Actinomorphic",11.1206651257032,-21.2142283257808,-0.447589571710616,4.84417411802276,1,1,0.222222222222222,0,0,0,0.19047619047619,0.333333333333333,0,0,56.238737,7.49924909574285,1.2702676356796,0.356572911668946,-0.908237126798006,0.222222222222222,0.19047619047619,0.333333333333333
